n,mean_burst,std_burst,mean_arrival,std_arrival,mean_priority,std_priority,max_burst,min_burst,max_arrival,min_arrival,label
4,4.5,1.118033988749895,2.5,1.8027756377319946,3.25,1.299038105676658,6,3,5,0,SJF
7,4.428571428571429,2.2587697572631282,3.0,1.7728105208558367,4.0,1.0690449676496976,9,1,5,0,SJF
7,5.428571428571429,1.9897697538834456,2.2857142857142856,1.905952009160905,3.142857142857143,1.4568627181693672,8,3,5,0,SJF
4,3.0,2.345207879911715,1.25,1.0897247358851685,1.75,0.4330127018922193,7,1,3,0,RR
7,4.571428571428571,1.3997084244475304,2.857142857142857,0.9897433186107869,1.8571428571428572,0.6388765649999399,6,2,4,1,SJF
5,4.4,3.0724582991474434,1.2,1.4696938456699067,3.8,1.469693845669907,9,1,4,0,SJF
7,6.714285714285714,2.813959371941744,2.2857142857142856,1.6659862556700857,3.0,1.3093073414159542,10,3,5,0,SJF
6,5.833333333333333,3.131382371342656,3.1666666666666665,1.674979270186815,3.1666666666666665,1.6749792701868151,10,2,5,1,SJF
8,5.25,3.191786333700926,2.75,1.3919410907075054,3.25,1.479019945774904,9,1,5,1,SJF
6,5.5,1.8929694486000912,1.5,1.2583057392117916,3.3333333333333335,1.699673171197595,8,2,4,0,SJF
8,5.5,2.6457513110645907,2.5,1.7320508075688772,3.25,1.479019945774904,9,1,5,0,SJF
4,5.0,2.449489742783178,2.5,1.118033988749895,2.75,1.0897247358851685,9,3,4,1,SJF
5,5.6,3.2,3.2,1.32664991614216,3.0,1.7888543819998317,10,2,5,1,SJF
5,2.8,1.469693845669907,1.2,1.1661903789690602,3.8,1.6,5,1,3,0,SJF
4,3.5,1.6583123951777,4.5,0.5,2.5,0.8660254037844386,5,1,5,4,SJF
3,5.0,3.265986323710904,3.3333333333333335,0.4714045207910317,5.0,0.0,9,1,4,3,SJF
3,8.0,2.160246899469287,1.0,1.4142135623730951,4.0,1.4142135623730951,10,5,3,0,SJF
5,7.2,1.7204650534085253,2.2,1.7204650534085253,3.4,1.3564659966250536,9,4,5,0,SJF
4,6.25,1.479019945774904,3.25,1.0897247358851685,3.25,1.299038105676658,8,4,5,2,SJF
8,6.625,2.117634293262177,2.75,1.299038105676658,2.5,0.7071067811865476,9,3,5,1,SJF
6,6.833333333333333,3.8477987935383986,3.1666666666666665,0.6871842709362768,2.3333333333333335,1.5986105077709065,10,1,4,2,SJF
6,4.333333333333333,1.4907119849998596,3.1666666666666665,1.3437096247164249,3.1666666666666665,1.674979270186815,6,2,5,1,SJF
7,4.142857142857143,2.6954231805876008,3.0,1.6903085094570331,3.2857142857142856,1.577908716741037,9,1,5,0,SJF
3,3.3333333333333335,2.0548046676563256,2.0,1.4142135623730951,4.666666666666667,0.4714045207910317,6,1,4,1,SJF
5,3.8,1.32664991614216,3.4,1.8547236990991407,3.6,1.3564659966250538,6,2,5,0,SJF
7,4.428571428571429,2.381904571504724,2.4285714285714284,1.6781914463529615,4.0,0.7559289460184544,9,2,4,0,SJF
6,7.166666666666667,3.7155828016013257,2.1666666666666665,1.9507833184532708,2.5,1.5,10,1,5,0,SJF
8,5.875,3.0998991919093113,1.875,1.6909686573085854,1.75,0.6614378277661477,10,1,5,0,SJF
7,7.714285714285714,2.4327694808466287,3.7142857142857144,1.0301575072754257,2.5714285714285716,1.5907898179514348,10,4,5,2,SJF
6,6.0,2.0,4.5,0.7637626158259734,3.1666666666666665,1.6749792701868151,10,4,5,3,SJF
5,5.6,2.5768197453450252,2.4,1.3564659966250536,3.4,1.019803902718557,9,2,4,0,SJF
3,4.666666666666667,2.8674417556808756,1.6666666666666667,2.357022603955158,2.3333333333333335,0.9428090415820634,8,1,5,0,SJF
7,5.571428571428571,2.4411439272335804,2.2857142857142856,1.2777531299998799,3.5714285714285716,1.178030178747903,8,1,4,1,SJF
3,7.666666666666667,2.6246692913372702,4.333333333333333,0.4714045207910317,2.3333333333333335,1.247219128924647,10,4,5,4,FCFS
7,6.285714285714286,2.962348764761103,2.7142857142857144,1.665986255670086,2.857142857142857,1.4568627181693672,10,2,5,0,SJF
8,5.5,3.122498999199199,1.75,0.82915619758885,2.75,1.6393596310755,10,1,3,1,SJF
6,6.333333333333333,0.9428090415820634,3.0,1.8257418583505538,3.0,1.0,8,5,5,0,SJF
4,5.25,2.8613807855648994,1.5,1.6583123951777,4.5,0.8660254037844386,9,1,4,0,SJF
6,5.5,1.8929694486000912,1.8333333333333333,0.8975274678557508,2.8333333333333335,1.4624940645653537,9,3,3,1,SJF
8,7.25,2.6339134382131846,1.875,1.899835519196333,4.375,0.4841229182759271,10,1,4,0,SJF
5,7.4,1.8547236990991407,1.8,1.1661903789690602,2.6,0.4898979485566356,10,5,3,0,SJF
8,5.0,2.345207879911715,1.875,1.5360257159305635,3.125,1.165922381636102,9,2,5,0,SJF
6,6.333333333333333,2.9249881291307074,3.3333333333333335,1.247219128924647,3.6666666666666665,1.3743685418725535,9,1,5,2,SJF
5,4.2,2.1354156504062622,2.4,0.8,2.8,1.16619037896906,8,2,3,1,SJF
4,3.75,2.165063509461097,3.0,1.7320508075688772,2.0,0.0,7,1,4,0,SJF
3,1.3333333333333333,0.4714045207910317,3.0,0.816496580927726,2.0,0.0,2,1,4,2,FCFS
5,3.6,3.32264954516723,2.6,1.2,3.6,1.019803902718557,10,1,4,1,RR
4,7.0,1.8708286933869707,2.0,1.224744871391589,3.5,1.118033988749895,9,4,4,1,SJF
4,6.5,2.5,2.75,1.479019945774904,2.75,1.479019945774904,10,3,5,1,SJF
7,5.0,3.5050983275386565,3.142857142857143,1.2453996981544782,2.2857142857142856,1.2777531299998797,9,1,5,1,SJF
5,6.0,2.6076809620810595,2.4,1.019803902718557,3.4,1.019803902718557,10,3,4,1,SJF
5,5.4,2.4166091947189146,2.8,2.0396078054371136,3.6,1.3564659966250536,8,1,5,0,SJF
7,3.0,1.927248223318863,1.1428571428571428,1.355261854357877,3.7142857142857144,1.2777531299998797,6,1,4,0,SJF
8,5.875,2.6190408549696205,2.75,1.8540496217739157,3.625,1.5761900266148114,9,1,5,0,SJF
4,2.0,0.7071067811865476,2.5,2.0615528128088303,2.5,1.118033988749895,3,1,5,0,FCFS
6,5.666666666666667,2.1343747458109497,3.5,1.5,2.3333333333333335,1.3743685418725535,7,1,5,1,SJF
7,4.428571428571429,3.2888184094918107,2.142857142857143,2.0995626366712954,3.2857142857142856,1.5779087167410373,10,1,5,0,SJF
7,6.0,3.3380918415851206,2.2857142857142856,1.3850513878332367,2.857142857142857,1.4568627181693672,10,2,5,0,SJF
4,5.25,1.6393596310755,3.5,1.118033988749895,3.0,1.4142135623730951,8,4,5,2,SJF
4,6.0,3.5355339059327378,1.75,1.299038105676658,2.25,1.6393596310755,10,2,3,0,SJF
7,7.0,2.138089935299395,2.5714285714285716,1.4982983545287878,2.4285714285714284,1.3997084244475302,9,4,5,1,SJF
6,4.666666666666667,2.6874192494328497,1.8333333333333333,1.6749792701868151,3.3333333333333335,1.3743685418725535,10,1,4,0,SJF
8,5.5,2.6457513110645907,2.25,1.1989578808281798,3.0,1.6583123951777,8,1,5,1,SJF
8,3.875,2.368411915187052,1.875,1.3635890143294642,2.625,1.653594569415369,9,1,5,0,SJF
3,6.333333333333333,2.6246692913372702,3.3333333333333335,0.9428090415820634,3.6666666666666665,1.247219128924647,10,4,4,2,FCFS
6,5.666666666666667,2.6874192494328497,2.5,1.707825127659933,2.8333333333333335,1.4624940645653537,10,2,5,0,SJF
6,7.166666666666667,2.6087459737497545,1.1666666666666667,1.0671873729054748,1.5,0.7637626158259734,10,2,3,0,SJF
6,5.166666666666667,3.2360813064912666,2.5,1.5,3.0,1.1547005383792515,9,1,5,0,SJF
4,7.25,2.384848003542364,2.25,1.479019945774904,3.5,1.118033988749895,10,4,4,0,SJF
4,7.25,3.031088913245535,2.0,1.5811388300841898,3.0,1.224744871391589,9,2,4,0,SJF
3,4.333333333333333,3.39934634239519,1.6666666666666667,0.4714045207910317,2.3333333333333335,1.247219128924647,9,1,2,1,RR
7,5.285714285714286,2.813959371941744,2.7142857142857144,1.6659862556700857,3.4285714285714284,1.2936264483053452,10,1,5,0,SJF
7,6.285714285714286,1.577908716741037,2.0,1.4142135623730951,2.857142857142857,1.2453996981544782,9,5,4,0,SJF
3,5.333333333333333,2.357022603955158,1.6666666666666667,0.4714045207910317,4.0,1.4142135623730951,7,2,2,1,FCFS
7,5.571428571428571,2.969229955832361,2.2857142857142856,1.1605769149479943,3.2857142857142856,1.1605769149479943,9,2,4,1,SJF
3,6.666666666666667,3.39934634239519,1.0,1.4142135623730951,3.6666666666666665,1.8856180831641267,10,2,3,0,SJF
4,3.5,3.2015621187164243,2.25,2.277608394786075,3.0,1.224744871391589,9,1,5,0,RR
6,7.166666666666667,3.2360813064912666,1.5,0.9574271077563381,2.6666666666666665,1.3743685418725535,10,1,3,0,SJF
6,6.5,2.6299556396765835,2.5,1.6072751268321592,4.5,0.5,10,2,4,0,SJF
4,6.75,2.947456530637899,1.5,1.6583123951777,2.75,1.299038105676658,10,2,4,0,SJF
3,6.666666666666667,4.0276819911981905,2.3333333333333335,1.699673171197595,3.3333333333333335,0.9428090415820634,10,1,4,0,FCFS
3,6.666666666666667,2.0548046676563256,2.0,1.4142135623730951,3.3333333333333335,0.4714045207910317,9,4,3,0,FCFS
4,6.75,2.7726341266023544,2.75,1.299038105676658,4.0,0.7071067811865476,10,4,4,1,FCFS
3,6.0,2.943920288775949,2.3333333333333335,1.247219128924647,4.333333333333333,0.4714045207910317,10,3,4,1,RR
6,5.666666666666667,2.8674417556808756,2.1666666666666665,1.9507833184532708,3.1666666666666665,1.4624940645653537,10,1,5,0,SJF
6,4.0,2.8284271247461903,1.1666666666666667,0.8975274678557508,3.8333333333333335,1.3437096247164249,10,2,2,0,SJF
5,5.6,2.33238075793812,2.8,1.7204650534085253,3.0,1.0954451150103321,9,2,5,0,SJF
6,3.8333333333333335,3.0230595245361753,2.6666666666666665,1.3743685418725535,2.0,1.0,8,1,5,1,SJF
6,3.1666666666666665,2.4094720491334933,2.5,1.5,2.6666666666666665,0.9428090415820635,7,1,5,0,SJF
3,4.0,2.449489742783178,3.3333333333333335,0.4714045207910317,2.0,0.816496580927726,7,1,4,3,SJF
3,7.666666666666667,0.4714045207910317,0.6666666666666666,0.9428090415820634,2.0,0.816496580927726,8,7,2,0,FCFS
5,7.6,1.9595917942265424,3.0,2.0976176963403033,2.4,0.4898979485566356,10,4,5,0,SJF
8,4.375,3.461845606031557,2.75,1.6393596310755,2.75,1.479019945774904,10,1,5,1,SJF
6,6.666666666666667,2.1343747458109497,2.3333333333333335,1.699673171197595,2.8333333333333335,1.3437096247164249,9,3,5,0,SJF
3,5.0,2.943920288775949,1.3333333333333333,1.8856180831641267,3.6666666666666665,0.4714045207910317,9,2,4,0,FCFS
6,6.166666666666667,1.3437096247164249,3.3333333333333335,1.5986105077709065,3.1666666666666665,1.0671873729054748,8,4,5,0,SJF
7,4.857142857142857,2.899683304312063,3.0,2.138089935299395,3.5714285714285716,1.178030178747903,9,1,5,0,SJF
7,6.428571428571429,3.0169588688489823,3.2857142857142856,1.9059520091609046,3.142857142857143,1.6413036132965795,9,1,5,0,SJF
3,5.0,2.449489742783178,1.6666666666666667,0.9428090415820634,4.0,1.4142135623730951,8,2,3,1,SJF
5,3.8,3.6551333764994136,2.0,2.0976176963403033,2.4,1.3564659966250538,10,1,5,0,RR
8,6.125,2.521780125229002,2.375,1.2183492931011204,3.375,1.3169567191065923,9,3,4,0,SJF
8,4.75,2.7726341266023544,2.375,1.4086784586980805,3.625,1.1110243021644486,10,2,5,0,SJF
5,4.2,2.4,3.0,1.2649110640673518,2.0,0.6324555320336759,8,2,5,2,SJF
5,5.2,2.7129319932501073,4.0,1.2649110640673518,3.6,1.3564659966250536,9,1,5,2,SJF
3,3.6666666666666665,2.494438257849294,1.3333333333333333,0.4714045207910317,3.3333333333333335,1.699673171197595,7,1,2,1,SJF
4,4.25,3.6996621467371855,1.75,1.7853571071357126,3.25,0.82915619758885,10,1,4,0,SJF
8,6.875,2.521780125229002,1.25,0.9682458365518543,3.0,1.3228756555322954,9,1,3,0,SJF
5,6.2,2.7129319932501073,2.8,1.9390719429665317,3.2,1.32664991614216,9,3,5,0,SJF
6,5.333333333333333,2.2852182001336816,1.8333333333333333,1.5723301886761007,2.8333333333333335,1.6749792701868151,8,1,5,0,SJF
3,4.666666666666667,3.2998316455372216,2.0,2.160246899469287,2.6666666666666665,0.4714045207910317,9,1,5,0,FCFS
3,6.666666666666667,0.4714045207910317,1.3333333333333333,1.247219128924647,1.0,0.0,7,6,3,0,FCFS
4,5.75,2.384848003542364,2.5,1.6583123951777,2.5,1.6583123951777,9,3,4,0,SJF
